TABELA: DB2DPR.TRM
TS....: S1DPR001
========================================================================
:Todos os termos Natureza
CERTIDAO                      CTDO |N
CERTIFICACAO                  CTFC |N
CERTIFICADO                   CTFD |N
CERTIFICADO DEP INTERBANCARIO CDI  |N
CERTIFICADO DEPOSITO BANCARIO CDB  |N
CERTIFICADOR                  CTFR |N
CERTIFICAR                    CRFR |N
CERTO                         CER  |N
CESEC                         CSEC |N
CESSAO                        CSS  |N
CESSIONARIO                   CSNR |N
CESTA                         CSTA |N
CETIP                         CTIP |N
CGC                           CGC  |N
CHAMADO                       CHMD |N
CHAMADOR                      CHMR |N
CHANCELA                           |N
CHASSI                        CHAS |N
CHAVE                         CHV  |N
CHAVE MESTRA                  CHVM |N
CHEGADA                       CHGD |N
CHEIO                         CHEI |N
CHEQUE                        CHQ  |N
CHEQUE DE VIAGEM              CHQV |N
CHEQUE OURO                   CHOU |N
CHIP                          CHIP |N
CIA BRL LIQUIDACAO CUSTODIA   CBLC |N
CIC                           CIC  |N
CICLICO                            |N
CICLO                         CICL |N
CICLOVIA                      CCVA |N
CICS                               |N
CIDADANIA                     CIDN |N
CIDADE                        CID  |N
CIEF                               |N
CILINDRADA                    CLND |N
CINCO                         CNC  |N
CIP                                |N
CIRCUITO                      CCTO |N
CIRCULACAO                    CRCC |N
CIRCULANTE                    CLNT |N
CIRCULAR                      CRCL |N
CIRCUNSCRICAO                 CCC  |N
CISAO                         CIS  |N
CIVEL                         CVEL |N
CIVIL                         CVL  |N
CLAREZA                       CLRZ |N
CLASSE                        CLS  |N
CLASSIFICACAO                 CLSC |N
CLASSIFICADOR                 CLSD |N
CLASSIFICAR                   CLSR |N
CLAUSULA                      CLSL |N
CLEARING                      CLRG |N
CLIENTE                       CLI  |N
CLT                                |N
CLUBE                         CLBE |N
CNIS                          CNIS |N
CNPJ                               |N
CO-PARTICIPANTE               CPCT |N
CO-RESPONSAVEL                CRSP |N
COBERTURA                     CBT  |N
COBOL                         CBL  |N
COBRADO                       CBRO |N
COBRADOR                      CBRD |N
COBRANCA                      CBR  |N
COBRAR                        CBRR |N
CODESP                        CDSP |N
CODEX                         CDEX |N
CODIFICACAO                   CDF  |N
CODIFICADOR                   CDFD |N
CODIGO                        CD   |S <-- NATUREZA
CODIGO DE BARRAS              CDBR |N
COEFICIENTE                   CFCT |N
COFINS                        CFNS |N
COFRE                         COF  |N
COLATERAL                     CLAL |N
COLETA                        CLA  |N
COLETAR                       CLAR |N
COLETIVO                      CLTO |N
COLHEITA                      COLH |N
COLHEITADEIRA                 CLHT |N
COLHER                        CLHR |N
COLHIDO                       CLHD |N
COLIGACAO                     CLG  |N
COLIGADO                      CLGD |N
COLOCACAO                     CLOC |N
COLOQUIO                           |N
COLUNA                        COL  |N
COM                           COM  |N
COMANDAR                      CMDR |N
COMANDO                       CMDO |N
COMARCA                       CMR  |N
COMBINACAO                    CBN  |N
COMBUSTIVEL                   COMB |N
COMECO                             |N
COMEMORATIVO                  CMTV |N
COMENTARIO                    CMTR |N
COMERCIAL                     CML  |N
COMERCIALIZACAO               CMZC |N
COMERCIALIZADO                CMLD |N
COMERCIALIZAR                 CMZ  |N
COMERCIO                      CMC  |N
COMISSAO                      CMSS |N
COMISSAO VALORES MOBILIARIOS  CVM  |N
COMISSIONADO                  CMSO |N
COMISSIONAMENTO               CMST |N
COMISSIONAR                   CMSR |N
COMITE                        CMTE |N
COMITENTE                     CMTN |N
COMMIT                        CMMT |N
COMPACTACAO                   CPC  |N
COMPACTADO                    CPCD |N
COMPACTADOR                   CPCR |N
COMPANHIA                     CIA  |N
COMPANY                            |N
COMPARACAO                         |N
COMPARADO                          |N
COMPARAR                           |N
COMPARATIVO                   CPRV |N
COMPARTILHADO                 CPTH |N
COMPARTILHAMENTO              CPTO |N
COMPATIBILIZAR                     |N
COMPATIVEL                    CMPV |N
COMPE                              |N
COMPENSACAO                   CPSO |N
COMPENSADO                    CPSD |N
COMPENSAR                     CPSR |N
COMPENSATORIO                 CPST |N
COMPENSAVEL                   CPSL |N
COMPETENCIA                   CPTC |N
COMPETICAO                         |N
COMPETIDOR                         |N
COMPETIR                           |N
COMPILACAO                    CPL  |N
COMPILADO                     CPLA |N
COMPILADOR                    CPLD |N
COMPILAR                      CPLR |N
COMPLEMENTAR                  CMPR |N
COMPLEMENTO                   CMPT |N
COMPLETO                      CMT  |N
COMPLEXIDADE                  CPLX |N
COMPLEXO                      CPXO |N
COMPONENTE                    CPNT |N
COMPORTAMENTAL                CMRL |N
COMPORTAMENTO                 CMRT |N
COMPOSICAO                    CMPS |N
COMPOSTO                      CPT  |N
COMPRA                        CPR  |N
COMPRADO                      CPRO |N
COMPRADOR                     CPRD |N
COMPRAR                       CMRR |N
COMPREENDER                        |N
COMPRESSAO                    CPRS |N
COMPRIDO                           |N
COMPRIMENTO                   CPMT |N
COMPROMETIDO                  CMTD |N
COMPROMETIMENTO               CMTT |N
COMPROMISSADO                 CMPD |N
COMPROMISSO                   CMPO |N
COMPROVACAO                   CPV  |N
COMPROVADOR                        |N
COMPROVANTE                   CPVT |N
COMPULSORIO                        |N
COMPUTACAO                    CPUT |N
COMPUTACIONAL                 CPUL |N
COMPUTADOR                    CPUR |N
COMPUTAVEL                    CPVL |N
COMUM                         CMUM |N
